Module name,Module size,Number of CN,Number of RN,Number of axioms
ApicalHeartWall,6135,5814,316,30235
MotionSmoothnessState,14,10,0,30
StomachToDuodenum,6134,5813,316,30232
SurgicalDisarticulating,34,19,10,74
ComponentOfPons,6134,5813,316,30232
MentalNerve,6134,5813,316,30232
OutletNeck,40,24,12,99
reversible,15,11,0,33
Nabilone,42,24,14,98
Menthol,41,23,14,95
TonsillarCrypt,6136,5815,316,30239
undetectedLevel,16,12,0,36
AnteriorCerebralBifurcation,6134,5813,316,30232
Pricking,159,100,54,450
DirectSunLight,58,27,26,139
Fusing,13,8,0,24
LeftwardRightwardRotation,18,13,0,39
BaseOfFourthMetatarsal,6134,5813,316,30232
AcetylationProcess,16,11,0,33
AnteriorPyramidalTract,6138,5817,316,30248
Hamartoma,147,86,56,461
Leg,6134,5813,316,30232
KlinefelterSyndrome,47,26,16,123
FourthCarpoMetacarpalJoint,6134,5813,316,30232
Mesalazine,42,24,14,98
RaisedSerumCholesterolConcentration,6195,5866,324,30461
PathologicalLowBloodpH,6206,5873,328,30492
ComponentOfLowerLimbBone,6134,5813,316,30232
PrincepsPollicisArtery,6134,5813,316,30232
Onchocerca,123,78,40,375
Heparin,31,17,10,69
Galactose,42,24,14,98
SelfConfidence,146,89,52,403
C7Dermatome,6134,5813,316,30232
NAMEDHeadSurfaceBodyPart,92,51,36,249
RadioimagingProcedure,110,53,52,280
NucleusPulposus,6135,5814,316,30235
contraindicated,14,10,0,29
DigitalRay,58,38,16,157
OrfVirus,77,46,26,202
SurgicalNeckOfHumerus,6135,5814,316,30235
BicepsReflex,6228,5905,318,30610
DiseaseAnalogyState,15,11,0,33
Cynocephalidae,83,52,26,219
Mobility,12,8,0,24
InferiorEpigastricArtery,6134,5813,316,30232
Vespertilionidae,85,54,26,226
DiseasedMuscle,6134,5813,316,30232
DecompensatingProcess,13,8,0,24
Loratadine,41,23,14,95
ElectricalDischarging,14,9,0,27
PocketWatch,33,19,10,76
BNFChapter4_8Section,64,35,24,169
BodyOfCervicalVertebra,6134,5813,316,30232
spiralling,18,14,0,42
AdultOverFifty,115,70,40,313
TympanicGanglion,6134,5813,316,30232
SubstitutedBenzamideGroup,30,16,10,67
DrynessState,14,10,0,30
EctopicTestis,6134,5813,316,30232
ProximalEpiphysealCartilageOfFemur,6134,5813,316,30232
AnginaClassI,6384,6051,328,31257
necrotic,17,13,0,39
NonNormallySmallJaw,6231,5900,326,30597
IntestinalPathology,6134,5813,316,30232
GerminalInclusionCyst,6135,5814,316,30235
JointOfPelvis,6134,5813,316,30232
ForeignBodyInEarSymptom,6165,5844,316,30354
LeftGastroepiploicArtery,6134,5813,316,30232
IncreasedLibido,171,104,62,477
TemporalProcessOfTemporalBone,6134,5813,316,30232
VentricularMyocardialConductionDelay,6264,5915,344,30705
SolidPartOfBone,6134,5813,316,30232
ReverseTriiodothyronine,6135,5814,316,30235
SurgicalDestroying,33,18,10,72
FourthCostalCartilage,6134,5813,316,30232
PostpartumHaemorrhage,73,40,28,197
UrinaryBladderFlap,6137,5816,316,30244
SerineAsDrug,46,28,14,113
IncipientEnamelCaries,6145,5824,316,30270
LateralNasalBranchOfAnteriorEthmoidalArtery,6134,5813,316,30232
TransvenousRoute,6254,5931,318,30711
UlnarCollateralLigamentOfWrist,6136,5815,316,30238
SurgicalTransfusing,34,19,10,75
ThirdDigitalRayOfHand,6135,5814,316,30237
HardParaffin,88,43,40,222
DeepArteryOfLowerExtremity,6134,5813,316,30232
solidGasPresentationState,16,12,0,36
MedialCollateralLigament,6134,5813,316,30232
DarkUrine,6156,5833,318,30314
MonobactamGroup,32,18,10,73
InguinalTriangle,6134,5813,316,30232
AnteriorPosteriorPositionSelector,14,10,0,29
HuntingtonsChorea,47,26,16,123
HistamineTwoReceptor,33,19,10,75
PolyuriaSymptom,6202,5871,326,30495
PelvicCavity,6134,5813,316,30232
AmpullaOfVater,6134,5813,316,30232
SurgicalExtracting,34,19,10,75
TreponemaPallidumBiotypeEndemicum,240,151,84,721
IntraAbdominalPartOfInferiorVenaCava,6134,5813,316,30232
Latanoprost,48,30,14,119
DistalNeckOfRadius,6134,5813,316,30232
BCellLymphoblast,6137,5816,316,30241
Lip,6134,5813,316,30232
SmallCleavedCellFollicularLymphoma,6268,5931,332,30761
GastricWallHypertrophy,6264,5931,328,30731
PharyngealDivisionOfGlossophanryngealNerve,6134,5813,316,30232
shortTime,17,12,0,37
RectoVaginalSeptum,6134,5813,316,30232
DrugBiochemicalEffect,15,10,0,30
DopamineNeurotransmitterDeficiency,118,65,48,322
Amprenavir,41,23,14,95
Proteinuria,6184,5855,324,30417
SolidFasteningProcess,12,7,0,21
BNFSection13_10_1,66,37,24,179
BNFSection13_10_2,66,37,24,179
BNFSection13_10_3,66,37,24,179
PetroleumProduct,110,51,54,277
BNFSection13_10_4,66,37,24,179
PeyronieDisease,6262,5939,318,30756
BNFSection13_10_5,66,37,24,179
MedialMeniscus,6134,5813,316,30232
HaemaphysalisCinnabarina,125,80,40,381
LeverDrivenWheelchair,6159,5834,320,30334
NonNormallySmallTestisSymptom,6231,5900,326,30597
UncinariaStenocephala,125,80,40,381
PrecentralGyrus,6134,5813,316,30232
IntercavernousVenousSinus,6134,5813,316,30232
AppleJuice,102,51,46,263
SensationOfColdLeg,6144,5823,316,30270
TarsalJoint,6134,5813,316,30232
OcularSymptom,6134,5813,316,30232
PathologicalRaisedUrineKetoneConcentration,6191,5862,324,30445
FetalDistress,73,40,28,197
TearingProcess,49,28,16,129
unevenlySpacedRepeating,19,15,0,45
LumbarSac,6134,5813,316,30232
LobarAtelectasis,6140,5819,316,30257
ExocrinePancreas,6134,5813,316,30232
OneAlphaHydroxycholecalciferolVitaminAsDrug,113,56,52,298
ComponentOfMiddleEar,6134,5813,316,30232
AbdominalColicSymptom,6343,6020,318,31087
AmitriptylineHydrochloride,75,34,36,177
HaloNaevus,6155,5826,324,30296
SleepDisturbanceSymptom,157,98,54,443
DeformationLesion,80,43,32,227
AnkleAndFoot,6134,5813,316,30232
Civet,87,56,26,232
Selenomethionine,41,23,14,95
HorseShoeKidney,6137,5816,316,30244
ProfessionalCarer,126,77,44,344
PramoxineHydrochloride,41,23,14,95
MeningealSpace,6134,5813,316,30232
PosteriorCutaneousNerveOfThigh,6135,5814,316,30240
Lomefloxacin,74,33,36,174
ArmExamination,6275,5954,316,30807
ChestPainRadiatingToNeck,6243,5922,316,30681
IrritationOfNoseAndThroat,6293,5972,316,30880
saccular,18,14,0,42
OpioidReceptor,32,18,10,72
DentalTissue,6134,5813,316,30232
SixthIntercostalSpace,6134,5813,316,30232
Ziphiidae,85,54,26,226
Martes,86,55,26,229
DrynessSymptom,157,98,54,440
Paleothalamus,6134,5813,316,30232
now,16,12,0,36
ObstructivePeripheralVascularDisease,6134,5813,316,30232
Tuesday,15,11,0,32
LymphocyticLeukaemia,6334,5995,334,31019
AlverineCitrate,41,23,14,95
CoccidioidesImmitis,115,70,40,318
Indinavir,41,23,14,95
PumpingBlood,6138,5817,316,30246
PatentForamenOvale,6142,5819,318,30264
LesserPetrosalNerve,6134,5813,316,30232
HeartExamination,6275,5954,316,30807
SerumPotassiumTest,6249,5912,332,30673
EscherichiaColiVerotoxigenic,239,150,84,717
ZygomaticoTemporalNerve,6134,5813,316,30232
Semen,6134,5813,316,30232
Holding,12,7,0,21
ChemicalMolecule,29,15,10,64
ExtensorMuscleOfHand,6134,5813,316,30232
PlateletDisorder,6137,5816,316,30243
StyeSymptom,355,228,122,1121
TransverseProcessOfThoracicVertebra,6134,5813,316,30232
Marten,87,56,26,232
InternalObturatorMuscle,6134,5813,316,30232
PerforatingCutaneousNerve,6135,5814,316,30238
MonobasicSodiumPhoshate,41,23,14,95
IdiopathicProcess,93,52,36,294
MeniscofemoralLigament,6135,5814,316,30236
Plasmalogen,33,19,10,75
MyoclonicSeizure,6240,5915,320,30655
GranulocyteOrMonocyte,6134,5813,316,30232
Disaccharidase,71,34,32,173
BNFLabelAppendix,54,25,24,126
RhomboidMajorMuscle,6134,5813,316,30232
InternalJugularVein,6134,5813,316,30232
Midlife,14,10,0,29
Metabolite,36,18,14,79
SurgicalImmobilizing,33,18,10,72
FurSeal,86,55,26,229
SystemicLupusErythematosusLikeSyndrome,48,27,16,119
Fistula,124,79,40,370
SurgicalRevising,36,17,14,78
SpermCount,6147,5822,320,30275
Bacampicillin,75,34,36,177
NAMEDExcipientDrugIngredient,38,20,14,85
SurgicalVolumeIncreasing,56,27,24,135
LungComponent,6134,5813,316,30232
BladderStone,6144,5823,316,30274
SoftTissue,55,29,22,129
HypertensiveCrisis,6165,5834,326,30332
BetaLipotropin,6134,5813,316,30232
VitreousBody,6134,5813,316,30232
UreaAndElectrolyteTest,6249,5912,332,30671
Bumetanide,41,23,14,95
supernumerary,13,9,0,26
JacketCast,44,25,14,103
Loa,123,78,40,375
ThirdMetatarsal,6134,5813,316,30232
Palpability,13,9,0,27
AnatomyOfBack,6134,5813,316,30232
syncopated,17,13,0,39
Asthma,6149,5826,318,30292
MassValueInMilligrams,30,16,10,64
McArdleDisease,6568,6223,340,32043
PectusExcavatum,6135,5814,316,30242
BNFRenalImpairmentAppendix,54,25,24,126
Beryllium,32,18,10,73
BNFChapter13_1Section,61,32,24,155
Radioluscence,13,9,0,27
DoxycyclineHyclate,75,34,36,177
EarDischargeSymptom,6155,5834,316,30323
EnalaprilMaleate,42,24,14,98
Glimepiride,74,33,36,174
ArtificialKneeProsthesis,6134,5813,316,30232
MetalCompound,71,30,36,172
SurfaceStructureOfNeck,6134,5813,316,30232
WallOfHollowBodyPart,118,63,50,321
SyndromeWithArterialInvolvement,6140,5819,316,30255
Formaldehyde,31,17,10,69
FrequencyValue,15,11,0,33
Dipivefrine,41,23,14,95
CapillaryConstriction,6331,5996,330,31002
OpiateWithdrawal,319,206,108,1012
SacroTuberousLigament,6134,5813,316,30232
MalignantEffusion,47,26,16,123
LegUlcer,6163,5842,316,30353
aFew,9,5,0,14
FlexorRetinaculumOfFoot,6134,5813,316,30232
RightAdrenalCortex,6134,5813,316,30232
ApicalAxillaryLymphnode,6135,5814,316,30235
UrinaryBladderCavity,6134,5813,316,30232
TaeniaAfricana,127,82,40,386
MiddleEthmoidSinus,6153,5832,316,30307
ComponentOfOrbit,6134,5813,316,30232
CyclizineHydrochloride,42,24,14,98
RickettsiaOrientalis,111,66,40,306
RootBodyOfTooth,6134,5813,316,30232
ResultInterpreting,12,7,0,21
GynaecologicalPain,6231,5910,316,30634
ScapularLine,49,31,14,127
Crown,47,29,14,121
WhereIncreasedMuscularActivityOfUrinaryOrGastroIntestinalTractHarmful,47,26,16,123
Fearlessness,147,90,52,406
FreezeDriedHumanClottingFactorIX,6177,5856,316,30415
Thelaziidae,123,78,40,374
FeelingColdSensation,145,88,52,397
ThirdMetacarpoPhalangealJoint,6134,5813,316,30232
TreponemaDenticola,239,150,84,718
CranialCerebellarLobe,6135,5814,316,30235
Lymphocyte,6142,5821,316,30262
RestingTwelveLeadECGTest,6225,5890,330,30578
BrachioradialisMuscle,6134,5813,316,30232
ChangedEEGTrace,6220,5885,330,30560
Coleoptera,80,49,26,214
BismuthSubnitrate,78,37,36,196
PosteriorCerebralCorticalArtery,6134,5813,316,30232
AnteriorInferiorCerebellarArtery,6134,5813,316,30232
ChorionicMembrane,277,172,100,832
Trisomy18Karyotype,43,25,14,104
TracheostomyRoute,6326,6003,318,31005
Chlormezanone,41,23,14,95
Ramularia,114,69,40,315
RenalInterstitialStructure,194,119,70,585
Cactus,80,49,26,210
RaisedUrineAcetoneConcentration,6194,5865,324,30458
VaginalPruritus,6141,5820,316,30266
CongenitalTracheoOesophagealFistula,6150,5829,316,30296
MammaryArteryGraft,6174,5849,320,30380
SkinOfSoleOfFoot,6134,5813,316,30232
ProchlorperazineMesylate,75,34,36,177
PoxVirus,75,44,26,196
pathological,13,9,0,26
Anoxia,117,48,64,287
TubeStiffeningDevice,131,76,50,372
AcuteApicalPeriodontitis,6300,5973,322,30890
Daughter,100,65,30,269
AbnormalGrowth,127,72,50,403
UrethralSmearSamplingProcess,6159,5830,324,30312
CardiovascularSystemPhenomenon,6134,5813,316,30232
ParoxysmalAtrioventricularReentrantTachycardia,6281,5948,328,30808
MedicatedPresentation,16,11,0,34
SerumCholesterolConcentration,6166,5843,318,30355
TemporalDivisionOfTrigeminalNerve,6134,5813,316,30232
LollipopBasicDrugForm,61,26,30,143
TalcAsDrug,69,35,30,166
OrganPreservation,66,35,26,168
DorsumOfTongue,6134,5813,316,30232
Coccidioides,114,69,40,315
RightMiddleEthmoidSinus,6153,5832,316,30307
SegmentOfIleum,6134,5813,316,30232
RecurrentCornealEpithelialErosion,6167,5842,320,30350
NalbuphineHydrochloride,77,36,36,185
acute,16,12,0,36
HaemosiderinDeposition,56,27,24,135
DrugByPhysiologicalEffect,60,27,28,136
PathologicalHyperGlycaemia,6208,5877,326,30507
OccipitalCondyle,6134,5813,316,30232
LeishmaniaBrasiliensis,122,77,40,372
Drill,42,23,14,98
AbnormalBodyStructure,44,27,12,112
LiquidRemovingProcess,13,8,0,24
RectusMuscleOfEye,6134,5813,316,30232
HyperAminolevulinaemia,6189,5860,324,30436
ChronicHyperplasticPulpitis,6321,5994,322,30973
Hypothalamus,6134,5813,316,30232
Confusion,177,116,56,532
LateralMalleolus,6134,5813,316,30232
EctasiaProcess,127,72,50,366
Acuity,12,8,0,24
Earth,31,17,10,70
NoduleOfCerebellum,6134,5813,316,30232
BalmBasicDrugForm,61,26,30,143
ChangedECGTrace,6222,5887,330,30568
FrickmanMethod,33,18,10,71
AdrenalHypofunction,6187,5856,326,30432
chemicallyAvailable,16,12,0,36
GrainhandlerRole,11,7,0,20
HistoryOfCaesareanSection,73,40,28,197
PulmonaryVascularSystem,6134,5813,316,30232
CompoundSkullFracture,6179,5856,318,30404
BiochemicalMarker,37,19,14,82
T8root,6134,5813,316,30232
HaemophiliaB,6519,6176,338,31855
DarklyPigmentedIris,6136,5815,316,30238
ClaudicationDistance,6399,6062,332,31303
HaemophiliaA,6519,6176,338,31854
LongSaphenousVeinGraft,6171,5846,320,30368
Gemeprost,48,30,14,119
DecupletPregnancy,308,193,110,938
HaemophiliaC,6521,6178,338,31861
BetaLactam,41,23,14,95
NonNormalSizedToe,154,95,54,459
Sulfacetamide,74,33,36,174
CoccyxExamination,6275,5954,316,30807
SurgicalRepairProcess,43,16,22,91
CutaneousEpithelioma,6173,5850,318,30386
LumbricalMuscle,6134,5813,316,30232
CorticosteroidGroup,31,17,10,70
Pseudophyllidea,124,79,40,377
Pyelonephritis,6267,5944,318,30768
JudgementwithReducedEffectiveness,6156,5829,322,30308
QualityOfLife,43,16,22,91
EffectiveCoordination,49,20,24,115
TendonOfSupraspinatus,6134,5813,316,30232
Aldioxa,41,23,14,95
Ushape,19,15,0,45
CiprofloxacinLactate,86,43,38,217
CorpusSpongiosum,112,61,46,290
TeichoicAcid,40,22,14,92
BehaviouralSymptom,142,85,52,388
ConstipationSign,6193,5866,322,30459
PeripheralVein,6134,5813,316,30232
GalactoseOnePhosphate,31,17,10,69
FoetusInObliquePresentation,331,220,106,1082
HighSodiumDiet,138,71,62,364
AnteriorSuperiorAlveolarNerve,6134,5813,316,30232
GallopingPulseRhythm,6293,5964,324,30865
DiseaseSeverityStageState,16,12,0,36
RefluxEsophagitis,6406,6073,328,31338
BranchOfThoracicAorta,6134,5813,316,30232
AluminiumCompound,74,33,36,183
Ejaculation,6137,5816,316,30244
EpidermalFragility,138,73,60,375
IntercurrentIllness,34,16,14,77
ArteriovenousFistulaOfHeart,6150,5829,316,30296
HaematuriaSymptom,6134,5813,316,30232
Depersonalisation,177,116,56,531
atLeastPartiallySpecifiedProcess,10,6,0,17
geneticRelativeDonor,14,10,0,29
Benperidol,73,32,36,171
MepacrineHydrochloride,41,23,14,95
CoracoclavicularLigament,6134,5813,316,30232
Dioxide,31,17,10,69
SodiumSalicylate,90,45,40,231
StyloidProcessOfTemporalBone,6134,5813,316,30232
EpithelialLayeringState,18,14,0,42
SyringobulbiaCavity,6136,5815,316,30240
Glomerulonephritis,289,182,102,948
LateralCordOfBrachialPlexus,6134,5813,316,30232
DisconnectionProcess,13,8,0,24
Nucleus,40,24,12,99
EpidermisOfScalp,6134,5813,316,30232
HyperkeratoticSkinDisorder,6136,5815,316,30239
ToeNailExamination,169,104,60,493
Suidae,86,55,26,229
MacadamiaNut,59,33,22,141
HortonArteritis,6274,5949,320,30790
ParietalBalding,6143,5822,316,30267
furlongs,11,7,0,20
BladderSpasmsDueToCatheterisation,50,29,16,129
ArylSulphataseA,81,44,32,211
Implantability,13,9,0,27
Prolactin,6134,5813,316,30232
MajorCephalopelvicDisproportion,73,40,28,197
IncreasedSeverityOfInfection,137,80,52,436
OrnithodorosCoriaceus,125,80,40,381
Stilboestrol,86,45,36,219
SurfaceHollowBodyStructure,75,40,30,198
PolyCysticOvary,6134,5813,316,30232
perSecond,11,7,0,20
TransSacralApproach,6244,5923,316,30676
HeartSubcomponent,6134,5813,316,30232
HighEnergyDiet,111,50,56,279
LiverFunctionTestResult,6195,5862,328,30468
ObscuredInspecting,15,10,0,30
Tragacanth,41,23,14,95
NeckOfGallBladder,6135,5814,316,30235
Modafinil,41,23,14,95
ThermalEnergy,10,6,0,17
LowerLateralQuadrantOfBreast,6134,5813,316,30232
VulvalVein,6134,5813,316,30232
Hydralazine,41,23,14,95
PosteriorUlnarRecurrentArtery,6135,5814,316,30235
Pressurising,14,9,0,27
SurfaceOfLiver,6134,5813,316,30232
BileAcid,6135,5814,316,30236
Tragulidae,86,55,26,229
Spumavirinae,76,45,26,199
Efavirenz,41,23,14,95
DrynessOfNasalMucosa,6164,5841,318,30351
SubstitutedBenzamideChemical,59,22,32,131
MuscleContractionProcess,6217,5894,318,30565
AdaptingProcess,13,8,0,24
DislocatedJoint,6139,5818,316,30255
FlaxDresserRole,11,7,0,20
TerminalIllness,47,26,16,123
Sulpride,73,32,36,171
InferiorGlossopharyngealGanglion,6134,5813,316,30232
decreasingSize,46,21,20,112
MalignantOvarianNeoplasia,6202,5877,320,30511
HearingDeficiency,6136,5815,316,30238
HypertensiveCardiacPathology,6144,5823,316,30271
SecretedSubstance,51,24,22,121
Attitude,146,89,52,403
BaseOfSkull,6134,5813,316,30232
BenignOvarianNeoplasia,6233,5906,322,30622
MyastheniaGravis,6344,6007,332,31058
S1root,6134,5813,316,30232
InfectionProcess,47,26,16,123
Sarcoptes,123,78,40,373
DelusionOfNegation,177,116,56,530
LowerMolar,6134,5813,316,30232
FundusOculi,6134,5813,316,30232
Silver,34,20,10,79
PostAuralApproach,6244,5923,316,30676
InjectionSiteReaction,6136,5815,316,30239
AdrenalInsufficiency,6263,5930,328,30756
RapidlyProgressingPeriodontitis,6294,5969,320,30867
AbnormallyDryMucousMembrane,6164,5841,318,30351
NullCellLymphocyte,6143,5822,316,30265
Calcipotriol,31,17,10,69
MildSeverity,47,20,22,110
ExaminationFinding,70,29,36,166
InfantUnderSixMonths,132,87,40,373
ReductionOfVascularPerfusion,6147,5826,316,30287
TobaccoAmbylopia,6136,5815,316,30238
InappropriateAffect,172,99,68,470
Duct,113,70,38,325
NewYearTime,13,9,0,26
PosteriorSuperiorLateralNasalNerve,6135,5814,316,30236
VibrioParahaemolyticus,245,154,86,736
BrieflyCompletedHistory,49,20,24,115
ActiveTractionProcess,13,8,0,24
Fentanyl,76,35,36,182
WoundCoveringDevice,158,91,62,496
Ciclacillin,75,34,36,177
Ruminantia,84,53,26,223
Epicanthus,6134,5813,316,30232
FirstCostoChondralJunction,6134,5813,316,30232
Crab,80,49,26,211
HaematemesisProcess,6140,5819,316,30258
AnteriorSuperiorIliacSpine,6134,5813,316,30232
Transposing,13,8,0,24
VoluntaryMovementOfHeadOrNeck,6134,5813,316,30232
DietaryWater,74,37,32,191
BNFChapter10_1_4Section,68,39,24,188
TransducedSignal,34,13,16,73
GreaterLesserSelector,14,10,0,29
SexSpecificGenitoUrinarySystem,56,25,26,136
OcciptalHeadache,6237,5916,316,30660
ConjunctivalDryness,6164,5841,318,30351
NonNormallyLargePenisSymptom,6231,5900,326,30601
LaserCutter,57,30,22,138
sourTasting,15,11,0,33
Trichinella,123,78,40,374
LingualArtery,6134,5813,316,30232
SevereVasculitis,6282,5953,324,30815
Severity,13,9,0,27
SurfaceStructureOfBack,6134,5813,316,30232
Molar,6134,5813,316,30232
FruitJuice,100,49,46,256
EndToSideVascularAnastomosisStructure,6138,5817,316,30247
LifeSupportingProcess,32,17,10,69
HistoryOfDrugAbuse,87,50,32,251
LoperamideHydrochloride,41,23,14,95
CyproteroneAcetate,51,33,14,133
LowerRespiratoryTractComponent,6134,5813,316,30232
IrisPlant,80,49,26,210
VorticoseVein,6134,5813,316,30232
BCellDiffuseMixedCellLymphoma,6244,5909,330,30656
Betamethasone,77,36,36,186
MalignantSystemicHypertension,6152,5829,318,30298
bellShaped,18,14,0,42
Levofloxacin,74,33,36,174
PsoasMuscle,6134,5813,316,30232
PosteriorMeniscofemoralLigament,6136,5815,316,30241
GastrolienalLigament,6139,5818,316,30259
DisopyramidePhosphate,42,24,14,98
ForcedDefaecation,6137,5816,316,30243
StartingPhase,12,7,0,21
MedialLateralPosition,13,9,0,27
OesophagostomumQuadrispinulatum,125,80,40,380
delayed,16,12,0,36
Crayfish,80,49,26,211
PercussiveResonance,13,9,0,27
BacitracinZinc,42,24,14,98
ProximalPhalangealHead,6134,5813,316,30232
PectoralLymphnode,6134,5813,316,30232
TricuspidValveDisorder,6134,5813,316,30232
LacrimalSystem,6134,5813,316,30232
MucousGlandDuct,6134,5813,316,30232
NAMEDAponeurosis,6134,5813,316,30232
FourthVentricle,6134,5813,316,30232
NAMEDBursa,6134,5813,316,30232
AcuflexBiter,101,52,44,265
ThoracicSectionOfSubduralSpace,6134,5813,316,30232
ExtensorPollicisLongus,6134,5813,316,30232
SurgicalDeed,27,12,10,52
RhabdoVirus,75,44,26,196
Certoparin,86,43,38,216
AnkleOedemaSymptom,6178,5857,316,30411
PosteriorMedianSeptumOfSpinalCord,6134,5813,316,30232
ComponentOfMiddleFinger,6134,5813,316,30232
ReducingCerebralBloodFlow,6230,5903,322,30610
CompositeUnit,9,5,0,14
BronchoPulmonarySegment,6134,5813,316,30232
PrenylamineLactate,60,33,22,147
AlphaGluconidase,81,44,32,213
SkeletalTractionDevice,6145,5822,318,30269
AssistingProcess,26,7,14,46
MetforminHydrochloride,75,34,36,177
SlowDrugReleasing,60,29,26,151
blockDrugForm,17,13,0,39
EmbryonicCell,277,172,100,832
latentSound,17,13,0,39
galloping,20,16,0,48
IontophoresisProcess,14,9,0,27
AorticValveProsthesis,6134,5813,316,30232
Enterobacter,237,148,84,711
SignsAndSymptomsOfProstateOrBreastCancerMayWorsenInitially,6136,5815,316,30238
CapsuleOfBreast,6134,5813,316,30232
T6Dermatome,6138,5817,316,30252
SizeValue,15,11,0,33
MyoclonicEpilepsy,6253,5926,322,30702
FrontalLobeSubduralSpace,6134,5813,316,30232
BronchiolarAdenocarcinoma,6205,5880,320,30525
CoalTar,41,23,14,95
GravitationalOedema,97,56,36,306
FirstIntermetatarsalJoint,6135,5814,316,30238
PathologicalHyperMagnesaemia,6206,5873,328,30496
DecreasedMentalAlertness,204,135,64,617
ArterioVenousFistula,6150,5829,316,30296
SuperficialDeepSelector,14,10,0,29
BronchialMucousMembrane,6134,5813,316,30232
Hypermetropia,6270,5937,328,30782
IntussusceptionProcess,48,27,16,126
EmbryonicTissue,286,175,106,858
ManganeseSulphate,89,44,40,225
ThoracicSymptom,6134,5813,316,30232
TetraploidKaryotype,41,23,14,98
Zidovudine,41,23,14,95
OccupationalHealth,15,11,0,33
ApplicationInformation,6,2,0,5
Phenoxymethylpenicillin,75,34,36,177
